Date,Price
2018-01-01,509.40767128378116
2018-01-02,502.5070504122087
2018-01-03,505.422886702636
2018-01-04,511.8425357706625
2018-01-05,509.93520994450427
2018-01-06,495.6327948718032
2018-01-07,505.2781059767143
2018-01-08,499.7432798862959
2018-01-09,499.9839060000546
2018-01-10,502.55952138783454
2018-01-11,501.2217079993733
2018-01-12,507.8320758045584
2018-01-13,504.3237765863203
2018-01-14,501.1096044860466
2018-01-15,502.72672426802166
2018-01-16,502.17308027668696
2018-01-17,508.0342614755562
2018-01-18,499.47448504080177
2018-01-19,502.0696100107822
2018-01-20,496.243702144996
2018-01-21,487.8842574003619
2018-01-22,503.78232723676155
2018-01-23,504.84550935925887
2018-01-24,496.7994622634038
2018-01-25,511.9902821389754
2018-01-26,493.27382295880005
2018-01-27,500.7293239832954
2018-01-28,499.5642707202516
2018-01-29,508.23090950117347
2018-01-30,507.9086893870084
2018-01-31,501.2763634650387
2018-02-01,502.39653770435666
2018-02-02,496.07654575949545
2018-02-03,490.68390071316236
2018-02-04,498.761974495268
2018-02-05,501.28338912009576
2018-02-06,506.6958920718634
2018-02-07,506.55448876730094
2018-02-08,498.5654278551499
2018-02-09,498.9895087175841
2018-02-10,495.27965803926435
2018-02-11,493.4432804570128
2018-02-12,492.03280766542343
2018-02-13,510.3597414113543
2018-02-14,497.9559287410423
2018-02-15,498.3124826305037
2018-02-16,494.269119329342
2018-02-17,504.406757940859
2018-02-18,492.4875198803538
2018-02-19,499.4366162388191
2018-02-20,496.0384445081449
2018-02-21,502.44044897140606
2018-02-22,497.95018756229143
2018-02-23,494.6259283503557
2018-02-24,500.35921783398885
2018-02-25,502.64865002267777
2018-02-26,500.8332796964754
2018-02-27,502.01641451770297
2018-02-28,497.3355143386357
2018-03-01,498.6880184825817
2018-03-02,497.14587492411147
2018-03-03,498.7039169322059
2018-03-04,496.44695285988996
2018-03-05,491.93434988643827
2018-03-06,501.38905662346167
2018-03-07,498.4933698237126
2018-03-08,492.4072484975866
2018-03-09,502.8218442491106
2018-03-10,495.9797576875691
2018-03-11,500.76030445650974
2018-03-12,504.1626851809576
2018-03-13,501.1462263842206
2018-03-14,506.23556542201953
2018-03-15,494.3579451955069
2018-03-16,502.51802746098485
2018-03-17,497.0844829734734
2018-03-18,496.1608293709498
2018-03-19,497.6114749622578
2018-03-20,498.94335541263297
2018-03-21,500.78143671900057
2018-03-22,494.7025139632977
2018-03-23,505.02925752576357
2018-03-24,502.83632665300524
2018-03-25,492.8701054609155
2018-03-26,508.00465979445784
2018-03-27,510.0797011037673
2018-03-28,506.43495460738274
2018-03-29,499.60053547788476
2018-03-30,495.16971986014585
2018-03-31,505.8057061924489
2018-04-01,498.48641085118163
2018-04-02,506.656140245943
2018-04-03,501.54375317018963
2018-04-04,505.4122782523076
2018-04-05,502.28704667275895
2018-04-06,504.04917366320456
2018-04-07,500.55280547243575
2018-04-08,509.51882672869897
2018-04-09,501.13584866514094
2018-04-10,502.5162572049886
2018-04-11,510.0147288466164
2018-04-12,493.7999658782672
2018-04-13,494.1816926421932
2018-04-14,505.37567596116327
2018-04-15,494.66307011266196
2018-04-16,510.3232305118778
2018-04-17,498.43436144929444
2018-04-18,496.7731833050476
2018-04-19,510.21771086942766
2018-04-20,507.9653549505226
2018-04-21,509.93521489228624
2018-04-22,505.0556115052354
2018-04-23,496.20832149955595
2018-04-24,510.1520139904029
2018-04-25,499.16068837856545
2018-04-26,504.5327040548545
2018-04-27,505.2637742203887
2018-04-28,499.72502517343406
2018-04-29,503.5831749826337
2018-04-30,505.1372452569457
2018-05-01,502.38781121033026
2018-05-02,495.0278831193835
2018-05-03,501.99516098052953
2018-05-04,507.18303660741657
2018-05-05,497.035980985323
2018-05-06,499.7518888778628
2018-05-07,498.3270373043415
2018-05-08,509.84192959558203
2018-05-09,503.87642322465365
2018-05-10,502.54375802294226
2018-05-11,496.66161430418174
2018-05-12,503.20648374804733
2018-05-13,497.1365673821304
2018-05-14,500.6595874647639
2018-05-15,497.3279350792534
2018-05-16,503.8972767730827
2018-05-17,503.3944243156576
2018-05-18,499.4587993318006
2018-05-19,502.4861943114799
2018-05-20,495.05926532684157
2018-05-21,493.09187834748377
2018-05-22,502.7042451868665
2018-05-23,501.33514692711344
2018-05-24,503.6886971187188
2018-05-25,512.5711579581111
2018-05-26,505.2497660735308
2018-05-27,495.9523612115427
2018-05-28,506.1222603279013
2018-05-29,493.95727436955997
2018-05-30,498.1953416255785
2018-05-31,500.15881719093716
2018-06-01,509.1494180525803
2018-06-02,496.7865963093748
2018-06-03,496.38096824248015
2018-06-04,500.00773743774016
2018-06-05,497.19053137458656
2018-06-06,506.17094977882726
2018-06-07,495.12427087771744
2018-06-08,494.7899909799339
2018-06-09,498.31374962581936
2018-06-10,498.01379324254077
2018-06-11,510.2513354639731
2018-06-12,505.27473269778045
2018-06-13,500.9386361436543
2018-06-14,494.40436907680316
2018-06-15,504.74418076739323
2018-06-16,495.5191222977982
2018-06-17,492.8280781957333
2018-06-18,506.4818031276432
2018-06-19,502.0890651346147
2018-06-20,505.1304368216545
2018-06-21,502.0980277103677
2018-06-22,504.80711435514814
2018-06-23,497.2524488405078
2018-06-24,495.3505382403247
2018-06-25,503.92328470807456
2018-06-26,496.495292355898
2018-06-27,497.06092328413206
2018-06-28,498.2254938247241
2018-06-29,500.5877409640994
2018-06-30,498.7316419017826
2018-07-01,493.6657088991309
2018-07-02,497.2892826406545
2018-07-03,489.49491163937967
2018-07-04,503.6393381162251
2018-07-05,492.5458348002744
2018-07-06,495.0032187277772
2018-07-07,500.7614045453055
2018-07-08,496.8123892729002
2018-07-09,508.28293153364723
2018-07-10,494.0711471185965
2018-07-11,501.8386266299991
2018-07-12,500.3036780919227
2018-07-13,494.6879518326554
2018-07-14,503.12611535624785
2018-07-15,499.64239628531226
2018-07-16,504.37800856051217
2018-07-17,504.63890805466747
2018-07-18,511.4452072306348
2018-07-19,507.23447798708696
2018-07-20,498.65590065754384
2018-07-21,499.3035895504394
2018-07-22,506.0344218681224
2018-07-23,503.7906152057465
2018-07-24,503.714386346671
2018-07-25,492.4724588733112
2018-07-26,500.3785125775108
2018-07-27,496.82000093016126
2018-07-28,501.90323613702924
2018-07-29,500.00924813731217
2018-07-30,505.0764921975578
2018-07-31,502.0904489103857
2018-08-01,504.45133739401007
2018-08-02,498.17125699422513
2018-08-03,495.79554588266683
2018-08-04,498.45215232244027
2018-08-05,500.4150701186093
2018-08-06,502.4015075156356
2018-08-07,511.9368040999113
2018-08-08,500.2887976136565
2018-08-09,495.73853889684057
2018-08-10,498.7716025578125
2018-08-11,498.18532117555026
2018-08-12,502.9158767945652
2018-08-13,492.84766397849586
2018-08-14,500.8169766957571
2018-08-15,501.28417898724666
2018-08-16,501.66366684408206
2018-08-17,497.5195924998955
2018-08-18,499.3108666928501
2018-08-19,493.4233310875938
2018-08-20,498.037263030871
2018-08-21,497.79058854703175
2018-08-22,502.58691938969315
2018-08-23,494.7468779499876
2018-08-24,504.4254604083532
2018-08-25,508.03632141302836
2018-08-26,490.24646192538523
2018-08-27,502.63822952171586
2018-08-28,503.8996689811148
2018-08-29,497.32002291746727
2018-08-30,498.5158480040995
2018-08-31,499.83562413741265
2018-09-01,499.01202298929087
2018-09-02,498.95602655477353
2018-09-03,492.1817507445545
2018-09-04,506.30103036922134
2018-09-05,505.93301765170287
2018-09-06,496.4458707201018
2018-09-07,493.2143443653754
2018-09-08,503.1149874159947
2018-09-09,497.6267105408963
